cabang,induk
1534,96
1535,82
1536,368
1537,556
1538,50
1539,37
1540,245
1541,107
1542,336
1543,339
1544,98
1545,104
1546,161
1547,307
1548,343
1549,5
1550,25
1551,100
1552,100
1553,132
1554,403
1555,106
1556,236
1557,102
1558,245
1559,353
1560,309
1561,309
1562,417
1563,538
1564,133
1565,133
1566,609
1567,572
1568,219
1569,74
1570,170
1571,170
1572,170
1574,127
1575,630
1576,182
1577,245
1578,423
1579,116
1580,417
1581,509
1582,125
1583,143
1584,127
1585,367
1586,638
1587,633
1588,327
1589,435
1590,152
1591,511
1592,328
1593,48
1594,247
1595,51
1596,286
1597,37
1600,87
1601,149
1602,170
1603,58
1604,60
1605,103
1606,72
1607,433
1608,166
1609,80
1610,48
1611,26
1612,172
1613,76
1614,170
1615,556
1616,71
1617,509
1618,377
1619,170
1620,331
1622,159
1623,139
1624,341
1626,41
1627,126
1628,101
1629,112
1630,78
1631,245
1632,50
1633,107
1634,249
1635,66
1636,86
1637,345
1638,337
1639,153
1640,4
1641,27
1642,352
1643,187
1644,627
1645,104
1646,28
1647,408
1648,103
1649,284
1650,35
1651,392
1652,623
1653,333
1654,329
1655,230
1657,443
1658,1144
1659,418
1660,395
1661,51
1662,344
1663,307
1664,642
1665,642
1666,54
1667,54
1668,108
1669,184
1670,63
1671,98
1672,115
1673,394
1674,208
1675,223
1676,63
1677,344
1678,37
1679,20
1680,286
1681,29
1682,35
1683,242
1684,239
1685,60
1686,256
1687,236
1688,158
1689,354
1690,354
1691,354
1692,560
1693,51
1694,609
1695,101
1696,39
1697,392
1698,245
1699,97
1700,630
1701,54
1702,12
1703,75
1704,133
1705,353
1706,404
1707,63
1708,168
1709,403
1710,258
1711,195
1712,82
1713,308
1714,309
1715,98
1716,286
1717,286
1718,344
1719,7
1720,170
1721,338
1722,412
1723,96
1724,109
1725,41
1726,434
1727,352
1728,88
1729,88
1730,88
1731,139
1732,426
1733,1223
1734,98
1735,12
1736,286
1737,53
1738,176
1739,421
1740,386
1741,241
1742,51
1744,41
1745,325
1746,245
1747,332
1748,416
1749,97
1750,410
1751,409
1752,137
1753,245
1754,245
1755,384
1756,384
1757,329
1758,58
1759,206
1760,509
1761,29
1762,39
1763,39
1764,336
1765,335
1766,53
1767,440
1768,5
1769,139
1770,170
1771,51
1772,144
1773,354
1774,170
1775,12
1776,412
1777,96
1778,1156
1779,410
1780,406
1781,354
1782,71
1783,228
1784,368
1785,206
1786,50
1787,433
1788,126
1789,336
1790,1145
1791,438
1792,151
1793,25
1794,170
1795,192
1796,590
1797,421
1798,12
1799,421
1800,193
1801,12
1802,332
1803,120
1804,96
1805,206
1806,282
1807,51
1808,206
1809,105
1810,243
1811,368
1812,393
1813,266
1814,403
1815,386
1816,191
1817,277
1818,244
1819,163
1820,206
1821,59
1822,139
2000,408
2001,344
2002,39
2003,2003
2004,332
2005,422
2006,433
2007,329
2008,420
2009,443
2010,438
2011,438
2012,382
2013,378
2014,605
2015,20
2016,408
2017,394
2018,193
2019,376
2020,329
2021,211
2022,439
2023,27
2024,54
2025,72
2026,560
2027,58
2028,68
2029,412
2030,1156
2031,96
2032,328
2033,29
2034,74
2035,145
2036,176
2037,207
2038,332
2039,332
2040,399
2041,377
2042,259
2043,91
2044,1156
2045,19
2046,376
2047,282
2049,304
2050,56
2051,50
2052,225
2053,642
2054,50
2055,35
2056,37
2057,37
2058,407
2059,209
2060,243
2061,71
2062,2062
2063,353
2064,310
2065,110
2066,51
2067,344
2068,69
2069,82
2070,52
2071,359
2072,319
2073,116
2074,341
2075,443
2076,40
2077,98
2078,630
2079,329
2080,261
2081,322
2082,314
